Number,Name,AlternateName,Frequency
12,"C0","",16.35
13,"C0#","D0b",17.32
14,"D0","",18.35
15,"D0#","E0b",19.45
16,"E0","",20.6
17,"F0","",21.83
18,"F0#","G0b",23.12
19,"G0","",24.5
20,"G0#","A0b",25.96
21,"A0","",27.5
22,"A0#","B0b",29.14
23,"B0","",30.87
24,"C1","",32.7
25,"C1#","D1b",34.65
26,"D1","",36.71
27,"D1#","E1b",38.89
28,"E1","",41.2
29,"F1","",43.65
30,"F1#","G1b",46.25
31,"G1","",49
32,"G1#","A1b",51.91
33,"A1","",55
34,"A1#","B1b",58.27
35,"B1","",61.74
36,"C2","",65.41
37,"C2#","D2b",69.3
38,"D2","",73.42
39,"D2#","E2b",77.78
40,"E2","",82.41
41,"F2","",87.31
42,"F2#","G2b",92.5
43,"G2","",98
44,"G2#","A2b",103.83
45,"A2","",110
46,"A3#","B2b",116.54
47,"B2","",123.47
48,"C3","",130.81
49,"C3#","D3b",138.59
50,"D3","",146.83
51,"D3#","E3b",155.56
52,"E3","",164.81
53,"F3","",174.61
54,"F3#","G3b",185
55,"G3","",196
56,"G3#","A3b",207.65
57,"A3","",220
58,"A3#","B3b",233.08
59,"B3","",246.94
60,"C4","",261.63
61,"C4#","D4b",277.18
62,"D4","",293.66
63,"D4#","E4b",311.13
64,"E4","",329.63
65,"F4","",349.23
66,"F4#","G4b",369.99
67,"G4","",392
68,"G4#","A4b",415.3
69,"A4","",440
70,"A4#","B4b",466.16
71,"B4","",493.88
72,"C5","",523.25
73,"C5#","D5b",554.37
74,"D5","",587.33
75,"D5#","E5b",622.25
76,"E5","",659.26
77,"F5","",698.46
78,"F5#","G5b",739.99
79,"G5","",783.99
80,"G5#","A5b",830.61
81,"A5","",880
82,"A5#","B5b",932.33
83,"B5","",987.77
84,"C6","",1046.5
85,"C6#","D6b",1108.73
86,"D6","",1174.66
87,"D6#","E6b",1244.51
88,"E6","",1318.51
89,"F6","",1396.91
90,"F6#","G6b",1479.98
91,"G6","",1567.98
92,"G6#","A6b",1661.22
93,"A6","",1760
94,"A6#","B6b",1864.66
95,"B6","",1975.53
96,"C7","",2093
98,"C7#","D7b",2217.46
99,"D7","",2349.32
100,"D7#","E7b",2489.02
101,"E7","",2637.02
102,"F7","",2793.83
103,"F7#","G7b",2959.96
104,"G7","",3135.96
105,"G7#","A7b",3322.44
106,"A7","",3520
107,"A7#","B7b",3729.31
108,"B7","",3951.07
109,"C8","",4186.01
110,"C8#","D8b",4434.92
111,"D8","",4698.64
112,"D8#","E8b",4978.03
0,"","",0
